Project,Source Repo,Source Sha,Dist Repo,Dist Sha,Status,Last Success Timestamp,Pkg NVR
puppet-java,git://github.com/puppetlabs/puppetlabs-java,66671ccf76855edb341c7b961101d9a8ecc38169,https://github.com/rdo-packages/puppet-java-distgit.git,9040e7d9750391ab75675a7090102951c5f3feb4,SUCCESS,1480687730,puppet-java-1.6.0-0.20161202141018.66671cc.el7.centos
puppet-ntp,git://github.com/puppetlabs/puppetlabs-ntp,93da3bd01a5ae4276eddec15ac615eb4bccc23cf,https://github.com/rdo-packages/puppet-ntp-distgit.git,e814f652e529a7b102533208bac95d53fb2cfe0e,SUCCESS,1476696995,puppet-ntp-4.2.0-0.20161017093645.93da3bd.el7.centos
puppet-rabbitmq,git://github.com/puppetlabs/puppetlabs-rabbitmq,5f482819334928e1e8f1addd9d65d89e09e81a6c,https://github.com/rdo-packages/puppet-rabbitmq-distgit.git,a788193ccc13a8284e8084e35e69c5ef69850777,SUCCESS,1481072541,puppet-rabbitmq-5.6.0-0.20161207010354.5f48281.el7.centos
puppet-rsync,git://github.com/puppetlabs/puppetlabs-rsync,8cc3c6fa7bd95ce2cf47f0c079cb30854399af5b,https://github.com/rdo-packages/puppet-rsync-distgit.git,4ba2f8713f76473242ef5a74f0bea1a07a3017c5,SUCCESS,1475519938,puppet-rsync-0.4.0-0.20161003183908.8cc3c6f.el7.centos
puppet-stdlib,git://github.com/puppetlabs/puppetlabs-stdlib,7507af555361b2dcba8ed6189dc54c21e64ea031,https://github.com/rdo-packages/puppet-stdlib-distgit.git,42080c084691c49288e05a97f49b8f7969560923,SUCCESS,1480687484,puppet-stdlib-4.13.1-0.20161202140616.7507af5.el7.centos
puppet-tomcat,git://github.com/puppetlabs/puppetlabs-tomcat,800e79e41ddffcc153e1c89f4e5f8bc36672e9bb,https://github.com/rdo-packages/puppet-tomcat-distgit.git,06ad54f65a17e465dbf3b49c88616a90ebd22367,SUCCESS,1481059715,puppet-tomcat-1.6.0-0.20161206212958.800e79e.el7.centos
puppet-vcsrepo,git://github.com/puppetlabs/puppetlabs-vcsrepo,ed4a755f66bb32039b239eb22bcfbcd3a9941855,https://github.com/rdo-packages/puppet-vcsrepo-distgit.git,4d4372463683d246312b4a79a798e295335869dd,SUCCESS,1480975027,puppet-vcsrepo-1.4.0-0.20161205215718.ed4a755.el7.centos
puppet-xinetd,git://github.com/puppetlabs/puppetlabs-xinetd,7a1ce5df9ec578e5cae8635016ffc757daf7a5ec,https://github.com/rdo-packages/puppet-xinetd-distgit.git,d0d0a25fe7e541d65c9cf677b765b1d142b88ef9,SUCCESS,1480713313,puppet-xinetd-2.0.0-0.20161202211641.7a1ce5d.el7.centos
puppet-cassandra,git://github.com/locp/cassandra,cb11d240b60afa1a4b663fd3149bff3747686471,https://github.com/rdo-packages/puppet-cassandra-distgit.git,85359dba2049ef1fd3a93d941a69cd39ea5cd16d,SUCCESS,1480620831,puppet-cassandra-2.2.0-0.20161201193519.cb11d24.el7.centos
puppet-certmonger,git://github.com/earsdown/puppet-certmonger,1157a7e552d87696e80ed4ab54bf0608a1c5ffff,https://github.com/rdo-packages/puppet-certmonger-distgit.git,9abb725e4d6aec92bc309e8dcdd1663a771a4511,SUCCESS,1476024117,puppet-certmonger-1.1.1-0.20161009144207.1157a7e.el7.centos
